MIRNA	GENE	INPUT
rno-miR-322	Khdrbs2	1
rno-miR-322	Fuca1	1
rno-miR-322	Lipe	1
rno-miR-322	Drg1	1
rno-miR-322	Terf1	1
rno-miR-322	Wbp11	1
rno-miR-322	Aadat	1
rno-miR-322	Akap7	1
rno-miR-322	Fxyd4	1
rno-miR-322	Npc2	1
rno-miR-322	Fmc1	1
rno-miR-322	Ppp2r2b	1
rno-miR-322	Serinc1	1
rno-miR-322	Pir	1
rno-miR-322	B4galt7	1
rno-miR-322	B4galt7	1
rno-miR-322	Igf1	1
rno-miR-322	Ly6b	1
rno-miR-322	Cntn4	1
rno-miR-322	Cntn4	1
rno-miR-322	Ccbp2	1
rno-miR-322	Tmem186	1
rno-miR-322	Tex21	1
rno-miR-322	Acox3	1
rno-miR-322	Sema4f	1
rno-miR-322	Iapp	1
rno-miR-322	Polr3c	1
rno-miR-322	Lig3	1
rno-miR-322	Prkaa2	1
rno-miR-322	Kcnc2	1
rno-miR-322	Tmem55a	1
rno-miR-322	Tmem55a	1
rno-miR-322	Dctn4	1
rno-miR-322	Sec61a1	1
rno-miR-322	Sec61a1	1
rno-miR-322	Gpr149	1
rno-miR-322	Cnot8	1
rno-miR-322	Cnot8	1
rno-miR-322	Cnot8	1
rno-miR-322	Vamp1	1
rno-miR-322	Dynll2	1
rno-miR-322	Igf1	1
rno-miR-322	Txnip	1
rno-miR-322	Fkrp	1
rno-miR-322	Vamp2	1
rno-miR-322	Emd	1
rno-miR-322	Tpt1	1
rno-miR-322	Srpr	1
rno-miR-322	Ptpn18	1
rno-miR-322	Tpp2	1
rno-miR-322	Lrrfip2	1
rno-miR-322	Arl8b	1
rno-miR-322	Cpsf7	1
rno-miR-322	MGC114427	1
rno-miR-322	Zbtb9	1
rno-miR-322	Ube2j2	1
rno-miR-322	Uqcrq	1
rno-miR-322	Ppp1r11	1
rno-miR-322	Mrs2	1
rno-miR-322	Lepre1	1
rno-miR-322	Cyp11b1	1
rno-miR-322	Mdh1	1
rno-miR-322	RGD1309534	1
rno-miR-322	Igfbp1	1
rno-miR-322	Ppp2r1a	1
rno-miR-322	Clcn4-2	1
rno-miR-322	S1pr2	1
rno-miR-322	Sfrs16	1
rno-miR-322	Prom2	1
rno-miR-322	Mkks	1
rno-miR-322	Mkks	1
rno-miR-322	Tnfaip1	1
rno-miR-322	LOC498350	1
rno-miR-322	Znf655	1
rno-miR-322	Znf655	1
rno-miR-322	Cops2	1
rno-miR-322	Cops2	1
rno-miR-322	Dnase1l1	1
rno-miR-322	Dnase1l1	1
rno-miR-322	Ybx1	1
rno-miR-322	Kctd13	1
rno-miR-322	Slc25a25	1
rno-miR-322	Sfrs2	1
rno-miR-322	Tspan1	1
rno-miR-322	Pcp4	1
rno-miR-322	Tmem66	1
rno-miR-322	Omg	1
rno-miR-322	Kcnk2	1
rno-miR-322	Fam113a	1
rno-miR-322	Tacr1	1
rno-miR-322	Egln2	1
