MIRNA	GENE	INPUT
dme-miR-1	mio	1
dme-miR-1	CG2127	1
dme-miR-1	CG10098	1
dme-miR-1	CG32039	1
dme-miR-1	CG34107	1
dme-miR-1	ACXB	1
dme-miR-1	CG5674	1
dme-miR-1	CG3457	1
dme-miR-1	CG3501	1
dme-miR-1	CG10417	1
dme-miR-1	moody	1
dme-miR-1	sens-2	1
dme-miR-1	sens-2	1
dme-miR-1	CG15382	1
dme-miR-1	CG14298	1
dme-miR-1	pdm2	1
dme-miR-1	pdm2	1
dme-miR-1	CG8179	1
dme-miR-1	CG7466	1
dme-miR-1	CG8920	1
dme-miR-1	CG18210	1
dme-miR-1	CG5978	1
dme-miR-1	Pen	1
dme-miR-1	Pen	1
dme-miR-1	CG10425	1
dme-miR-1	CG9904	1
dme-miR-1	trh	1
dme-miR-1	trh	1
dme-miR-1	CG1090	1
dme-miR-1	CG6522	1
dme-miR-1	CG15614	1
dme-miR-1	Ag5r	1
dme-miR-1	CG3362	1
dme-miR-1	CG1288	1
dme-miR-1	CG7852	1
dme-miR-1	CG4462	1
dme-miR-1	CG10527	1
dme-miR-1	pirk	1
dme-miR-1	Mlc1	1
dme-miR-1	CG2446	1
dme-miR-1	CG31221	1
dme-miR-1	zf30C	1
dme-miR-1	Orct	1
dme-miR-1	CG10217	1
dme-miR-1	sw	1
dme-miR-1	mus101	1
dme-miR-1	CG12929	1
dme-miR-1	CG13923	1
dme-miR-1	Csp	1
dme-miR-1	Dyrk3	1
dme-miR-1	Nplp3	1
dme-miR-1	CG5073	1
dme-miR-1	tutl	1
dme-miR-1	CG30403	1
dme-miR-1	CG5611	1
dme-miR-1	CG33232	1
dme-miR-1	Nsf2	1
dme-miR-1	CG5149	1
dme-miR-1	CG15890	1
dme-miR-1	MED28	1
dme-miR-1	CG6126	1
dme-miR-1	CG31064	1
dme-miR-1	otu	1
dme-miR-1	CG31427	1
dme-miR-1	mib1	1
dme-miR-1	upd3	1
dme-miR-1	sinu	1
dme-miR-1	sinu	1
dme-miR-1	CG17510	1
dme-miR-1	CG33998	1
dme-miR-1	CG16708	1
dme-miR-1	CG6665	1
dme-miR-1	wol	1
dme-miR-1	CG13829	1
dme-miR-1	okr	1
dme-miR-1	Vti1	1
dme-miR-1	DNApol-eta	1
dme-miR-1	Ras64B	1
dme-miR-1	CG30494	1
dme-miR-1	trbd	1
dme-miR-1	Osi20	1
dme-miR-1	hkb	1
dme-miR-1	zwilch	1
dme-miR-1	CG9095	1
dme-miR-1	CG9095	1
dme-miR-1	CG5017	1
dme-miR-1	Lkr	1
dme-miR-1	CG33494	1
dme-miR-1	CG8042	1
dme-miR-1	CG14562	1
dme-miR-1	CG17360	1
dme-miR-1	CG8785	1
dme-miR-1	CG2774	1
dme-miR-1	CG14274	1
dme-miR-1	sm	1
