miRNA	E10.5	E11.5	E12.5	E13.5	E14.5	E16.5	P3	P6	P9	Adult
mmu-miR-186	7.48864353985	7.48864353985	7.48864353985	7.48864353985	7.48864353985	6.68229237143	6.6948801928	6.6948801928	6.6948801928	5.92837032302
mmu-miR-188	4.78135971352	4.78135971352	4.78135971352	4.78135971352	4.78135971352	5.1937717434	6.57440430902	6.57440430902	6.57440430902	3.24792751344
mmu-miR-189	3.70043971814	3.70043971814	3.70043971814	3.70043971814	3.70043971814	3.43295940728	4.40599235968	4.40599235968	4.40599235968	3.95419631039
mmu-miR-190	5.40939093614	5.40939093614	5.40939093614	5.40939093614	5.40939093614	5.27052894238	6.01569380711	6.01569380711	6.01569380711	5.34695688938
mmu-miR-191	11.4361389305	11.4361389305	11.4361389305	11.4361389305	11.4361389305	11.447858105	11.3725930331	11.3725930331	11.3725930331	11.0732043435
mmu-miR-193	8.63734941083	8.63734941083	8.63734941083	8.63734941083	8.63734941083	9.13903966768	8.60436789989	8.60436789989	8.60436789989	8.20652601588
mmu-miR-194	4.12101540096	4.12101540096	4.12101540096	4.12101540096	4.12101540096	4.40599235968	4.03562390973	4.03562390973	4.03562390973	3.60880924268
mmu-miR-195	9.5870273824	9.5870273824	9.5870273824	9.5870273824	9.5870273824	9.68176548785	8.90689059561	8.90689059561	8.90689059561	9.06447332875
mmu-miR-199a	7.84109254469	7.84109254469	7.84109254469	7.84109254469	7.84109254469	6.81249822533	5.99774402606	5.99774402606	5.99774402606	3.71149490665
mmu-miR-199a*	7.67242534197	7.67242534197	7.67242534197	7.67242534197	7.67242534197	6.81378119122	6.27239650904	6.27239650904	6.27239650904	3.58496250072
mmu-miR-200a	4.32192809489	4.32192809489	4.32192809489	4.32192809489	4.32192809489	5.94016675048	8.21140163742	8.21140163742	8.21140163742	7.93014594791
mmu-miR-200b	4.33628338786	4.33628338786	4.33628338786	4.33628338786	4.33628338786	3.98185265329	6.61911951145	6.61911951145	6.61911951145	6.47248777146
mmu-miR-201	0.13750352375	0.13750352375	0.13750352375	0.13750352375	0.13750352375	0.584962500721	0.0	0.0	0.0	0.0
mmu-miR-202	0.263034405834	0.263034405834	0.263034405834	0.263034405834	0.263034405834	0.378511623254	0.263034405834	0.263034405834	0.263034405834	0.263034405834
mmu-miR-206	5.91647664444	5.91647664444	5.91647664444	5.91647664444	5.91647664444	6.90568784853	8.23553560671	8.23553560671	8.23553560671	8.28216176658
mmu-miR-207	2.13750352375	2.13750352375	2.13750352375	2.13750352375	2.13750352375	1.13750352375	0.925999418556	0.925999418556	0.925999418556	1.37851162325
mmu-miR-208	0.0	0.0	0.0	0.0	0.0	1.20163386117	1.0	1.0	1.0	0.48542682717
