gene	E10.5	E11.5	E12.5	E13.5	E14.5	E16.5	P3	P6	P9	Adult
Wtip	7.79172258161	8.0518324067	8.07049005128	7.13451873189	7.83613243165	7.8393116252	8.08183428746	7.817071776	7.65892793604	7.20456528711
Star	0.0	3.81233751414	3.26486576238	4.72055209161	2.15283240469	3.63433123176	2.47914295046	4.72485873965	2.46394367696	3.85276559564
Rarg	2.21661327414	3.26458195114	4.63894600513	5.43549525193	3.88645259872	4.56213627709	3.11977612385	1.15560622732	0.0	1.38032338573
Fxyd7	4.93195839996	3.25919691835	2.70540431461	2.38625914113	3.50347595134	0.0	0.0	1.17184603459	0.0	1.38032338573
Larp1	10.0060239448	9.85452610939	10.6342643409	10.205168883	10.0156213361	9.90193411248	9.85821161743	9.91216170329	9.9223857703	10.4224616678
Enho	3.20731302355	6.12851247137	6.81954602592	6.41871281327	5.5176851337	5.69114436318	6.64012813612	6.83464947378	6.90204839412	5.44334861259
Iqub	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bcas1	0.0	0.0	0.810996615833	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp850	2.69972228229	4.05779986429	2.76110196462	2.38625914113	3.50347595134	3.36007423726	1.917052202	2.33496691783	1.17919813098	1.38032338573
Dhx38	8.20099569731	8.77656774072	8.65322056877	8.83786757408	8.51727175572	8.70501273168	8.25462927991	8.22700210502	8.05018948151	8.02670459331
Cyp2c39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nfasc	0.0	3.44188919126	2.27904734812	6.34560927217	5.28240273631	0.0	0.0	0.0	0.0	0.0
Ugt1a6b	9.63993040082	9.8798241815	10.1771180146	10.4207276559	10.5109114953	10.8140405403	11.1052961958	11.0839973215	10.8356017814	10.0158970415
Pdcd6ip	10.5078301723	10.5055482693	10.155444267	9.94547456282	10.3022516401	9.45969712351	9.79499114665	9.32105098065	9.46079370919	9.43982964952
Gm10639	0.0	0.0	0.0	0.0	0.0	1.48863996175	0.0	0.0	0.0	0.0
Dpep3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ctrb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Apol8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sfta2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smim24	0.0	0.823542106314	3.06012176961	0.0	3.50347595134	0.0	1.21927950346	0.0	1.28474554598	0.0
Adrm1	7.34450333901	7.01390811775	6.54613551748	7.09045121468	7.04430668065	6.4684162247	7.49853596208	7.26231151086	6.88293556733	6.38182245729
Fbxl7	2.23223611767	0.823542106314	0.738579605593	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lrrc38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Med25	0.0	2.41552453745	2.51687147901	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Defb18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ankrd45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sik2	5.702332439	5.17782694152	4.5313266727	4.93512968177	5.40483501749	5.20774158395	4.63681548671	5.27495264987	5.16906274429	5.06439622021
Nup107	7.87620112081	6.62274940608	5.93776803662	4.46845298636	5.14860877021	3.99570580942	5.9512004385	6.32940534124	5.92812745992	5.31716126677
Olfr1053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfand4	2.71572790834	5.15017843906	2.95779253744	2.38625914113	2.98075651923	2.91203704149	3.11752646817	3.63455308865	1.17919813098	0.0
Zfp541	0.0	0.0	0.0	2.38625914113	4.43849247269	1.94132152468	3.74205823967	2.20909497397	0.0	1.82503760446
1110008F13Rik	12.1528635912	11.9422837574	11.829920556	11.0083032562	11.0575484252	10.402901982	10.3337326758	10.0121121604	9.80151060246	9.81029770287
Acvr1b	0.0	0.823542106314	0.810996615833	0.0	2.15283240469	0.0	0.0	0.0	0.0	1.31718046585
Snx10	6.95768190831	7.13033163837	6.60411656209	7.13451873189	6.92660436939	6.8860920762	7.21633376863	6.42819732657	6.95318742117	7.61903634833
Usp29	0.0	1.37164976394	1.54957622143	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slit2	0.0	2.17013414409	2.16607611397	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neurl4	4.93234118249	7.2393609736	7.14415580733	7.99239456845	8.68373855569	8.49128421822	7.85712443399	7.97730472941	8.5679724948	7.99643877386
Bloc1s4	8.31192095328	8.20412029634	8.71656626499	8.10743156734	7.92065654872	7.37366804566	7.62852370237	7.78886648022	7.27068276155	7.98263360822
Fgf23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wdr46	6.3530731813	7.43136831988	7.60720636279	7.09045121468	7.28653003942	6.50752290286	6.38923889954	7.12567158729	6.79491139903	6.85028635388
Skor2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lmod1	0.0	1.19807974454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mrpl30	2.23223611767	5.47495570796	6.39779815196	3.24107745818	3.88645259872	3.81275580019	4.39619515246	3.63560454562	3.5026265079	3.85472582386
Cd80	2.21661327414	3.14345956814	4.25301268326	4.16269343221	4.43849247269	4.84436545442	4.96405067363	4.86467362055	4.73485277133	5.19187534615
Nme8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Epb41l5	5.70221205928	5.887999353	5.28201995385	3.24107745818	3.88645259872	4.56213627709	1.63129174659	3.44184923573	3.32647873687	5.15926223402
Pvr	7.05344248773	7.45314267178	7.53852297884	7.78681196596	7.62562118298	8.02229310637	7.25878338357	7.45348493288	7.24231963213	7.01992758008
Fam162b	0.0	0.0	0.0	0.0	0.0	1.42339707974	0.0	0.0	0.0	0.0
Rasgef1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ddit3	6.95768190831	6.46037496078	6.40462804454	6.55468093566	6.32705856274	7.88213635846	7.07007477796	7.15521933199	6.99225755771	7.68117680776
Nipal3	5.4239262977	6.35834254224	5.96227135277	7.61078863352	7.3180365914	7.07053339041	7.00106826262	7.29729736954	7.31045579884	7.10541864902
March2	8.4500728635	8.95142457954	8.93709502083	9.11584998108	9.56866869338	8.98141567769	8.58867810686	7.94146413642	7.89315342513	7.83404787736
Toe1	7.34391227441	7.69770178443	6.98066846643	6.55468093566	6.79842643771	6.18549266263	6.25569283177	6.60733101512	6.64834509411	6.82215921057
Bag3	8.15987682641	7.36552913671	7.60838196047	8.15099623697	7.87901341039	7.59942495473	7.19213463764	7.48928923736	7.30872519931	7.80353252481
